feature,importance
primer_enc,0.13963978
q2_sec_mean,0.056069456
frac_mixed_pos,0.053323302
sec_ratio_p75,0.04862435
sec_ratio_mean,0.046532664
n_basecalls,0.030134251
q1_sec_mean,0.028836096
signal_std,0.028055582
align2score,0.025955677
signal_mean,0.02465264
signal_max,0.023547137
sec_ratio_p90,0.021860538
q3_sec_mean,0.021742228
align1score,0.020289285
read_length_frac,0.019179352
readable_cv,0.019150607
coverage_len,0.018778108
readable_p90,0.018524833
q3_mean,0.017325653
qual_mean,0.016819967
signal_cv,0.01664026
n_mixed_pos,0.016500527
q3_std,0.016482463
read_end,0.016418535
late_max_ratio,0.015750447
allele1frac,0.015595413
q1_std,0.015289677
baseline_T,0.015257983
readable_range,0.015024515
dropoff_pos,0.014987531
coverage_frac,0.014761704
baseline,0.014684099
q2_std,0.014503885
allele2frac,0.014396622
early_max_ratio,0.013947638
qual_below40_frac,0.013772028
q2_mean,0.012745741
qual_below20_frac,0.012465147
q1_mean,0.011503643
readable_p10,0.011354315
qual_p10,0.011174139
sec_ratio_max,0.0105230445
baseline_A,0.006991444
baseline_G,0.00018779225
read_start,0.0
baseline_C,0.0
